,marketSegment,name,slug,ticker,totalSupply
200,Ethereum,ParkinGo,parkingo,GOT,94808613.2074404
201,Ethereum,Opennity,opennity,OPNN,1000000000
202,Ethereum,Fatcoin,fatcoin,FAT,200000000
203,Ethereum,Hercules,hercules,HERC,177593051.093575
204,Ethereum,CoinUs,coinus,CNUS,2000000000
205,Ethereum,Infinitus Token,infinitus-token,INF,100000000
206,Gaming,Decimated,decimated,DIO,1000000000
207,Other,BOSAGORA,bosagora,BOA,450000000
208,Ethereum,Skychain,skychain,SCH,12360000
209,Insurance,Etherisc,etherisc,DIP,1000000000
210,Ethereum,FLETA,fleta,FLETA,2000000000
211,Ethereum,EXRNchain,exrnchain,EXRN,100000000000
212,Financial,Internxt,internxt,INXT,629609.543
213,Media,Fountain,fountain,FTN,2208919510.99
214,Financial,EurocoinToken,eurocoin-token,ECTE,100000000
215,Ethereum,Carry,carry,CRE,7948497539.683591
216,Financial,AIDUS TOKEN,aidus-token,AID,10000000000
217,Ethereum,DEXTER,dexter,DXR,103622100
218,Ethereum,IntelliShare,intellishare,INE,986000000
219,Ethereum,TAGZ,tagz,TAGZ,500000000
220,Exchange,B2BX,b2bx,B2B,19822337.19958543
221,Ethereum,SOLVE,solve,SOLVE,1000000000
222,Platform,Origo,origo,OGO,681277849.938
223,Cloud Computing,Uranus,uranus,URAC,3500000000
224,,Tchain,tchain,TCH,100000000
225,Stablecoin,CryptoFranc,cryptofranc,XCHF,4726000
226,Other,Membrana,membrana,MBN,614868301.1139042
227,DeFi,Liquid,liquidefi,LIQ,
228,Ethereum,Evedo,evedo,EVED,17756589.687825
229,Binance,DREP,drep,DREP,10000000000
230,Ethereum,TigerCash,tigercash,TCH,1000000000
231,Scaling,Celer,celer-network,CELR,10000000000
232,Ethereum,PIXEL,pixel,PXL,987500000
233,Data,COVA,cova,COVA,6500000000.000001
234,Qtum,Bodhi,bodhi,BOT,100000000
235,Blockchain Service,FOAM Protocol,foam,FOAM,1000000000
236,Ethereum,Dusk Network,dusk-network,DUSK,500000000
237,DeFi,noob.finance,noob-finance,NOOB,30000
238,Ethereum,SKALE Network,skale-network,SKL,4072194681
239,Financial,Turtlecoin,turtlecoin,TRTL,89095629682.58
240,Ethereum,Sharder,sharder,SS,350000000
241,Marketplace,Herbalist Token,herbalist-token,HERB,9500000000
242,Ethereum,The Currency Analytics,the-currency-analytics,TCAT,400000000
243,Ethereum,Upfiring,upfiring,UFR,24000000.00578804
244,Travel,Tratok,tratok,TRAT,100000000000
245,Fund,Numeraire,numeraire,NMR,10974651.32969957
246,,DigitalBits,digitalbits,XDB,1500000000
247,Cryptocurrency,Titan Coin,titan-coin,TTN,910820150.1590686
248,,ProBit Token,probit,PROB,193995208.67156598
249,,Gomics,gomics,GOM,75000000
250,Protocol,Hedera Hashgraph,hedera-hashgraph,HBAR,50000000000
251,Ethereum,Gnosis,gnosis-gno,GNO,10000000
252,Interoperability,Wanchain,wanchain,WAN,192071558.33459842
253,DeFi,NEST,nest,NEST,
254,Ethereum,Playkey,playkey,PKT,19893267.57518124
255,Ethereum,dForce,dforce,DFR,
256,Cryptocurrency,Wrapped Bitcoin,wrapped-bitcoin,WBTC,118704.01990667
257,Decentralized Exchange,Bancor,bancor,BNT,90571969.00894497
258,Derivatives,Synthetix Network Token,synthetix-network-token,SNX,210952391.61959526
259,DeFi,Lattice Token,lattice-token,LTX,100000000
260,Ethereum,Coinvest,coinvest,COIN,107142857
261,DeFi,Cherry Swap,cherry-swap,CSW,
262,Bitshares,DEEX,deex,DEEX,87811933.4135
263,Bitcoin,ZeroNet,zeronet,ZNT,
264,Bitcoin,Bisq,bisq,BISQ,
265,Bitcoin,BitPay,bitpay,BTP,
266,EOS,pEOS,peos,PEOS,1000000000
267,Oracle,Band Protocol,band-protocol,BAND,100000000
268,EOS,Telos,telos,TLOS,355208370.6674
269,Blockchain Service,Dexon,dexon,DXN,
270,NFT,Polyient Games Governance Token,polyient-games-governance-token,PGT,20000
271,Ethereum,Excaliburcoin,excaliburcoin,EXC,65000000000
272,Ethereum,Azuki,azuki,AZUKI,2136358
273,,Hyper Speed Network,hyper-speed-network,HSN,939999999.99
274,Stablecoin,Binance USD,binance-usd,BUSD,674776071.41
275,DeFi,Staked,staked,STK,
276,Exchange,KUN,kun,KUN,1000000
277,,Soverain,soverain,SOVE,8248170.48351179
278,,MX Token,mx-token,MX,626433682.3
279,,3DCoin,3dcoin,3DC,76477814
280,Oracle,ChainLink,chainlink,LINK,1000000000
281,,Krios,krios,KRI,500000000
282,DeFi,wormhole.finance,wormhole-finance,WHOLE,
283,Exchange,Dragon Token,dragon-token,DT,21406200
284,Virtual Reality,CEEK,ceek-vr,CEEK,1000000000
285,,TrueFeedBack,truefeedback,TFB,9730656095.63844
286,Tokenization,PAX Gold,pax-gold,PAXG,42199.501
287,DeFi,Abra,abra,ABR,
288,DeFi,MetaMoneyMarket,metamoneymarket,MMM,
289,Blockchain Network,Hive,hive,HIVE,411168267.346
290,,OTOCASH,otocash,OTO,38254583.5403
291,Ethereum,Agrello,agrello-delta,DLT,130271020.035721
292,DeFi,AlphaWallet,alphawallet,AWL,
293,DeFi,Ambo,ambo,AMBO,
294,DeFi,Argent,argent,ARG,
295,DeFi,Betoken,betoken,BTK,
296,,LiquidApps,liquid-apps,DAPP,1048827793.542
297,,Polis,polis,POLIS,9831890.56695441
298,,Colletrix,colletrix,CIPX,1838477280
299,,XcelToken Plus,xceltoken-plus,XLAB,50000000000
300,Social,Howdoo,howdoo,UDOO,888888888
301,,AmonD,amond,AMON,7600000000
302,Ethereum,Bob’s Repair,bobs-repair,BOB,360000000
303,Other,Business Credit Substitute,business-credit-substitute,BCS,68000000
304,DeFi,Bitpie,bitpie,BTP,
305,Ethereum,ClearPoll,clearpoll,POLL,8999991.9
306,DeFi,BUTTON Wallet,button-wallet,BUTT,
307,DeFi,Cobo Wallet,cobo-wallet,COBO,
308,DeFi,Axion,axion,AXN,156630345427
309,Other,Blockchain Quotations Index Token,blockchain-quotations-index-token,BQT,1000000000
310,DeFi,Coinbase Wallet,coinbase-wallet,CBW,
311,Ethereum,DeFi Saver,defi-saver,DFS,
312,DeFi,DexWallet,dexwallet,DWL,
313,Ethereum,KEY,key,KEY,100000000000
314,DeFi,Fetch,fetch-wallet,FTW,
315,Travel,Condominium,condominium,CDM,1607137916.7034
316,DeFi,imToken,imtoken,IMT,
317,Financial,Roobee,roobee,ROO,5400000000
318,Gambling,Cai Token,cai-token,CAI,21000000000
319,Insurance,CIChain,cichain,CIC,3000000000
320,Cryptocurrency,CENTERCOIN,centercoin,CENT,3500002431.6288257
321,Ethereum,LemoChain,lemochain,LEMO,1600000000
322,Financial,SaluS,salus,SLS,1012265.2714843
323,Ethereum,TENA,tena,TENA,5000000
324,DeFi,Unit Protocol,unit-protocol,COL,
325,Ethereum,TaaS,taas,TAAS,8146000.779398
326,Cryptocurrency,Rhenium,rhenium,XRH,33891939.4450499
327,Ethereum,Block Array,block-array,ARY,88409932.93
328,Ethereum,Tierion,tierion,TNT,1000000000
329,Cryptocurrency,Cropcoin,cropcoin,CROP,49292859.999385
330,DeFi,Dharma,dharma,DHA,
331,Ethereum,Alpha Token,alpha-token,A,278273649.09200984
332,Ethereum,Blackmoon,blackmoon,BMC,60000000
333,Exchange,Bibox Token,bibox-token,BIX,241075947.27
334,Stablecoin,Empty Set Dollar,empty-set-dollar,ESD,364277.96745
335,Neo,Master Contract Token,master-contract-token,MCT,580000000
336,Ethereum,KeeperDAO,keeperdao,ROOK,1000000
337,Ethereum,MOAC,moac,MOAC,151205864
338,Privacy,Sumokoin,sumokoin,SUMO,34270023.82412468
339,Cryptocurrency,Pure,purex,PUREX,20220781.688152
340,Other,BitCoen,bitcoen,BEN,100000000
341,Other,NNB Token,nnb-token,NNB,6000000000
342,Other,NIX,nix,NIX,48216508.340715
343,AI,Invacio,invacio,INV,19424494
344,Ethereum,Spendcoin,spendcoin,SPND,4000000000
345,Stellar,Smartlands,smartlands,SLT,7186785.07945
346,Sports,Cubiex,cubiex,CBIX,150000000
347,Cryptocurrency,Redd,reddcoin,RDD,28808713173.78866
348,Cryptocurrency,Bitcoin Cash ABC,bitcoin-cash-abc-2,BCHA,18572921
349,Cryptocurrency,SnowGem,snowgem,XSG,30749320
350,Network,Cajutel,cajutel,CAJ,1780000
351,Virtual Reality,VIBE,vibe,VIBE,267000000
352,Blockchain Service,Engine,engine,EGC,10000000000
353,Interoperability,Lamden,lamden,TAU,288090567.494
354,Governance,Dark.Build,darkbuild,DARK,100000
355,Social,CVCoin,cvcoin,CVCOIN,15000000
356,Ethereum,DEW,dew,DEW,200000000
357,Binance,Vai,vai,VAI,7254006
358,Cryptocurrency,Gold Poker,gold-poker,GPKR,6061848.76256866
359,Cryptocurrency,HyperCash,hypercash,HC,44921492.593052
360,Ethereum,Zilla,zilla,ZLA,60000000
361,DeFi,UNCL,uncl,UNCL,
362,Ethereum,MenaPay,menapay,MPAY,400000000
363,Ethereum,SEER,seer,SEER,4100000000
364,Network,MaidSafeCoin,maidsafecoin,MAID,452552412
365,Gambling,CashBet,cashbet-coin,CBC,401647957.75
366,DeFi,Sav3Token,sav3token,SAV3,26734226
367,Cryptocurrency,Unobtanium,unobtanium,UNO,203116.36151896
368,Cloud Computing,Sparkle,sparkle,SPRKL,70000000
369,Protocol,Bytom,bytom,BTM,1639854187.5
370,Interoperability,Ink,ink,INK,1000000000
371,Platform,Komodo,komodo,KMD,123051963.99198
372,Ethereum,Blockcloud,blockcloud,IOT,10000000000
373,Financial,Haven Protocol,haven-protocol,XHV,14068991.012
374,Platform,ECC,eccoin,ECC,24999999999.983017
375,Neo,Zeepin,zeepin,ZPT,1000000000
376,Cryptocurrency,Decred,decred,DCR,12341367.6017359
377,Ethereum,Zippie,zippie,ZIPT,1000000000
378,DeFi,ORO,oro,ORO,100000000
379,Elastic supply,Base Protocol,base-protocol,BASE,159600467.54138407
380,Cryptocurrency,Zenon,zenon,ZNN,5622780.86362124
381,Ethereum,Intelligent Investment Chain,intelligent-investment-chain,IIC,21000000000
382,Gaming,eBoost,eboostcoin,EBST,99990001.568832
383,Ethereum,Hegic,hegic,HEGIC,3012009888
384,,FREE Coin,free-coin,FREE,10998999997635
385,Tokenization,DEUS Finance,deus-finance,DEUS,1509480
386,Exchange,International Crypto X,internationalcryptox,INCX,599999990
387,Travel,Quasarcoin,quasarcoin,QAC,263449705.26000005
388,Qtum,MediBloc,medibloc,MED,8359542113.19155
389,Cryptocurrency,Cobrabytes,cobrabytes,COBRA,100188310
390,Cryptocurrency,PENG,peng,PENG,10406459970.577477
391,NFT,Phantasma Protocol,phantasma,SOUL,96302327
